variant,subset,d_model,n_heads,n_layers,epochs_used,test_rmse,test_score,params,size_mb,flops,inference_ms
student_d16_h1_l1_gru_default,FD001,16,1,1,150,13.204026222229004,308.8066711425781,8945,0.0341,226608.0,2.2753
student_d16_h1_l1_nogru,FD001,16,1,1,150,13.228453636169434,254.95587158203125,3745,0.0143,75496.0,1.4958
student_d8_h1_l1_gru,FD001,8,1,1,150,13.451798439025879,297.5424499511719,2969,0.0113,78616.0,1.8714
student_d8_h1_l1_nogru,FD001,8,1,1,150,13.133979797363281,276.875244140625,1657,0.0063,37752.0,1.9418
student_d24_h1_l1_gru,FD001,24,1,1,150,13.352069854736328,293.4236755371094,12249,0.0467,287328.0,1.4288
student_d24_h1_l1_nogru,FD001,24,1,1,150,12.951571464538574,280.4473876953125,6449,0.0246,113340.0,1.5332
student_d32_h2_l1_gru,FD001,32,2,1,150,13.87781047821045,273.28411865234375,16065,0.0613,348048.0,1.2853
student_d32_h2_l1_nogru,FD001,32,2,1,150,13.320003509521484,279.70361328125,9729,0.0371,151248.0,0.909
student_d32_h2_l2_gru,FD001,32,2,2,150,13.108384132385254,289.73480224609375,24609,0.0939,478608.0,1.6069
student_d32_h2_l2_nogru,FD001,32,2,2,150,12.798257827758789,287.3577575683594,18273,0.0697,281808.0,1.3785
student_d64_h4_l2_gru,FD001,64,4,2,150,14.06408977508545,308.9951171875,78785,0.3005,1326880.0,2.2213
student_d64_h4_l2_nogru,FD001,64,4,2,150,13.521658897399902,313.52783203125,53825,0.2053,564640.0,1.3974
